592 9624
0 0 146.6049382716
0 1 25.7201646091
0 2 25.7201646091
0 3 -15.4320987654
0 5 15.4320987654
0 27 -15.4320987654
0 28 15.4320987654
0 30 18.0041152263
0 31 -10.2880658436
0 133 -66.8724279835
0 134 36.0082304527
0 135 36.0082304527
0 136 -33.4362139918
0 137 10.2880658436
0 138 -77.1604938272
0 160 -33.4362139918
0 161 -77.1604938272
0 162 10.2880658436
1 0 25.7201646091
1 1 146.6049382716
1 2 25.7201646091
1 4 -15.4320987654
1 5 15.4320987654
1 27 36.0082304527
1 28 -66.8724279835
1 29 36.0082304527
1 30 10.2880658436
1 31 -77.1604938272
1 133 15.4320987654
1 134 -15.4320987654
1 136 -10.2880658436
1 137 18.0041152263
1 138 -10.2880658436
1 160 -77.1604938272
1 161 -33.4362139918
1 162 10.2880658436
2 0 25.7201646091
2 1 25.7201646091
2 2 146.6049382716
2 3 36.0082304527
2 4 36.0082304527
2 5 -66.8724279835
2 28 15.4320987654
2 29 -15.4320987654
2 30 10.2880658436
2 31 -33.4362139918
2 133 15.4320987654
2 135 -15.4320987654
2 136 -77.1604938272
2 137 10.2880658436
2 138 -33.4362139918
2 160 -10.2880658436
2 161 -10.2880658436
2 162 18.0041152263
3 0 -15.4320987654
3 2 36.0082304527
3 3 195.4732510288
3 4 102.8806584362
3 6 -15.4320987654
3 8 -36.0082304527
3 30 -30.8641975309
3 136 -133.7448559671
3 137 -30.8641975309
4 1 -15.4320987654
4 2 36.0082304527
4 3 102.8806584362
4 4 195.4732510288
4 7 -15.4320987654
4 8 -36.0082304527
4 30 -30.8641975309
4 136 -72.0164609053
4 137 -30.8641975309
5 0 15.4320987654
5 1 15.4320987654
5 2 -66.8724279835
5 5 195.4732510288
5 6 -15.4320987654
5 7 -15.4320987654
5 8 -66.8724279835
5 31 -30.8641975309
5 138 -30.8641975309
6 3 -15.4320987654
6 5 -15.4320987654
6 6 293.2098765432
6 7 51.4403292181
6 9 -15.4320987654
6 11 15.4320987654
6 30 18.0041152263
6 31 10.2880658436
6 32 -30.8641975309
6 33 30.8641975309
6 35 18.0041152263
6 36 -10.2880658436
6 37 -10.2880658436
6 136 -33.4362139918
6 137 10.2880658436
6 138 77.1604938272
6 139 -133.7448559671
6 140 72.0164609053
6 142 -33.4362139918
6 143 10.2880658436
6 144 -77.1604938272
6 166 -66.8724279835
6 167 -154.3209876543
7 4 -15.4320987654
7 5 -15.4320987654
7 6 51.4403292181
7 7 293.2098765432
7 10 -15.4320987654
7 11 15.4320987654
7 30 10.2880658436
7 31 77.1604938272
7 32 72.0164609053
7 33 -133.7448559671
7 35 10.2880658436
7 36 -33.4362139918
7 37 -77.1604938272
7 136 -10.2880658436
7 137 18.0041152263
7 138 10.2880658436
7 139 30.8641975309
7 140 -30.8641975309
7 142 -10.2880658436
7 143 18.0041152263
7 144 -10.2880658436
7 166 -154.3209876543
7 167 -66.8724279835
8 3 -36.0082304527
8 4 -36.0082304527
8 5 -66.8724279835
8 8 293.2098765432
8 9 36.0082304527
8 10 36.0082304527
8 11 -66.8724279835
8 30 -10.2880658436
8 31 -33.4362139918
8 34 -30.8641975309
8 35 10.2880658436
8 36 -77.1604938272
8 37 -33.4362139918
8 136 77.1604938272
8 137 -10.2880658436
8 138 -33.4362139918
8 141 -30.8641975309
8 142 -77.1604938272
8 143 10.2880658436
8 144 -33.4362139918
8 168 36.0082304527
9 6 -15.4320987654
9 8 36.0082304527
9 9 195.4732510288
9 10 102.8806584362
9 12 -15.4320987654
9 14 -36.0082304527
9 35 -30.8641975309
9 36 -72.0164609053
9 142 -133.7448559671
9 143 -30.8641975309
10 7 -15.4320987654
10 8 36.0082304527
